branch,dataset,len_claimed_fixes,savings_ratio,skip_reason
no_cadence,tdrive:tdrive_42:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_44:p0,25,0.0,
no_odometer,tdrive:tdrive_44:p0,25,1.0,
no_continuity,tdrive:tdrive_44:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_44:p0,25,0.9822700458349174,
no_cadence,tdrive:tdrive_44:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_46:p0,25,0.0,
no_odometer,tdrive:tdrive_46:p0,25,1.0,
no_continuity,tdrive:tdrive_46:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_46:p0,25,0.9721305361305361,
no_cadence,tdrive:tdrive_46:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_48:p0,25,0.0,
no_odometer,tdrive:tdrive_48:p0,25,1.0,
no_continuity,tdrive:tdrive_48:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_48:p0,25,1.0,
no_cadence,tdrive:tdrive_48:p0,25,1.0,
all_on,tdrive:tdrive_49:p0,25,0.0,
no_odometer,tdrive:tdrive_49:p0,25,1.0,
no_continuity,tdrive:tdrive_49:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_49:p0,25,0.9739073272406605,
no_cadence,tdrive:tdrive_49:p0,16,0.9480583613916947,
all_on,tdrive:tdrive_50:p0,25,0.0,
no_odometer,tdrive:tdrive_50:p0,25,1.0,
no_continuity,tdrive:tdrive_50:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_50:p0,25,0.9746682206682207,
no_cadence,tdrive:tdrive_50:p0,13,0.9506480186480186,
all_on,tdrive:tdrive_51:p0,25,0.0,
no_odometer,tdrive:tdrive_51:p0,25,1.0,
no_continuity,tdrive:tdrive_51:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_51:p0,25,0.9698253478987914,
no_cadence,tdrive:tdrive_51:p0,17,0.890561354530426,
all_on,tdrive:tdrive_52:p0,25,0.0,
no_odometer,tdrive:tdrive_52:p0,25,1.0,
no_continuity,tdrive:tdrive_52:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_52:p0,25,0.97491518308862,
no_cadence,tdrive:tdrive_52:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_53:p0,25,0.0,
no_odometer,tdrive:tdrive_53:p0,25,1.0,
no_continuity,tdrive:tdrive_53:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_53:p0,25,0.9770643939393939,
no_cadence,tdrive:tdrive_53:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_54:p0,25,0.0,
no_odometer,tdrive:tdrive_54:p0,25,1.0,
no_continuity,tdrive:tdrive_54:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_54:p0,25,0.9751891298463825,
