cadence_sec,dataset,granularity,max_residual,mean_residual,median_residual,n,p95_residual,payload_mode,positive_share,relay_radius_m,skip_count
120,rome,fine,0.345679012345679,0.09565599882505207,0.05853640267652052,32,0.2784265851191987,intra_cell,0.65625,0,34
120,rome,fine,0.46196868008948544,0.2835777013199373,0.2665733388494682,66,0.45213421589627245,intra_cell,1.0,100,0
120,rome,fine,0.5357510288065843,0.3099018974075241,0.29422784898724313,66,0.4799217002237136,intra_cell,1.0,200,0
120,rome,fine,0.5357510288065843,0.3463479248049706,0.34446959534987703,66,0.5073939154973344,intra_cell,1.0,400,0
300,rome,fine,0.22178988326848248,0.04341962238549647,0.0,19,0.17526674563995776,cell,0.42105263157894735,0,47
300,rome,fine,0.3055555555555556,0.1608720369540012,0.1419895820099098,66,0.28158039900707915,cell,1.0,100,0
300,rome,fine,0.4071502057613169,0.20495169453612352,0.18852377062527625,66,0.3424660694896851,cell,1.0,200,0
300,rome,fine,0.4071502057613169,0.251868973753006,0.243386955573693,66,0.3738618477144044,cell,1.0,400,0
300,rome,fine,0.345679012345679,0.09565599882505207,0.05853640267652052,32,0.2784265851191987,intra_cell,0.65625,0,34
300,rome,fine,0.46196868008948544,0.28590399291485397,0.2665733388494682,66,0.45213421589627245,intra_cell,1.0,100,0
300,rome,fine,0.5357510288065843,0.31225909322442214,0.29422784898724313,66,0.4799217002237136,intra_cell,1.0,200,0
300,rome,fine,0.5357510288065843,0.3479747724059722,0.34446959534987703,66,0.5073939154973344,intra_cell,1.0,400,0
60,rome,medium,0.01282623243363819,0.002379044460362111,0.0,19,0.007244009962537993,cell,0.47368421052631576,0,47
60,rome,medium,0.11136192626034612,0.040464430625200776,0.037521854844426175,66,0.08119634314011535,cell,1.0,100,0
60,rome,medium,0.15500376222723852,0.055601267252686964,0.04986949496143366,66,0.12571896788688552,cell,1.0,200,0
60,rome,medium,0.23639774859287055,0.07621516288271543,0.06551870157015743,66,0.18594025087374055,cell,1.0,400,0
60,rome,medium,0.02036036036036036,0.0056326962966532085,0.004951935953679457,32,0.01499419393907059,intra_cell,0.6875,0,34
60,rome,medium,0.15500376222723852,0.04967572601278515,0.0436505178768993,66,0.10420077215724464,intra_cell,1.0,100,0
60,rome,medium,0.1926260346124906,0.06396728585825796,0.05647780437048494,66,0.14662554976684822,intra_cell,1.0,200,0
60,rome,medium,0.2514873574615766,0.07899540821124944,0.06551870157015743,66,0.1868695037544245,intra_cell,1.0,400,0
120,rome,medium,0.2469879518072289,0.0447458365191147,0.0,19,0.17778655249383243,cell,0.42105263157894735,0,47
120,rome,medium,0.3055555555555556,0.15553009202108908,0.13861066686520238,66,0.25368945304137885,cell,1.0,100,0
120,rome,medium,0.4071502057613169,0.19909848726369803,0.19029497363963838,66,0.30747836148370006,cell,1.0,200,0
120,rome,medium,0.4071502057613169,0.23400322783432412,0.21757287197645722,66,0.323868502987692,cell,1.0,400,0
120,rome,medium,0.345679012345679,0.09637788832796203,0.05853640267652052,32,0.2784265851191987,intra_cell,0.65625,0,34
120,rome,medium,0.5357510288065843,0.28099438563958745,0.2700188466105208,66,0.43133067092651756,intra_cell,1.0,100,0
120,rome,medium,0.5357510288065843,0.30394784006601416,0.2929447852760736,66,0.4641131360702927,intra_cell,1.0,200,0
120,rome,medium,0.5357510288065843,0.3312074234832739,0.3232184850344172,66,0.46569492546734165,intra_cell,1.0,400,0
300,rome,medium,0.2469879518072289,0.0447458365191147,0.0,19,0.17778655249383243,cell,0.42105263157894735,0,47
